global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,architecture_id,architecture_name,tuning_stage,family_id,family_group,variant_id,capacity_anchor,search_algo,setting_tier,setting_id,setting_key,setting_group,setting_detail,base_dataset,base_rank,base_key,base_run_phase,base_result_json,base_source,base_test_mrr20,base_valid_mrr20,base_setting_id,base_capacity_anchor,source_feature_mode,runtime_feature_mode,runtime_eval_mode,lr_mode,diag_pair_max_points,diag_pair_bin_count
0.095200,0.095200,P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_00_S4,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,run_complete,beauty,4,2,run_complete,0.073500,3,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_00_s4_20260417_074448_397972_pid1507804.json,2026-04-17T07:48:09.323082Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,B01_B25_lr_h8_seen_anchor__RI-00,router_input,RI-00,H8,random,essential,RI-00,BASELINE,router_input,Replay base setting as-is.,beauty,1,beauty:B25_lr_h8_seen_anchor,P4XD_XD_BEAUTY_B25_LR_H8_SEEN_ANCHOR_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4xd_xd_beauty_b25_lr_h8_seen_anchor_s1_20260416_030201_046233_pid244350.json,command_log,0.0822,0.0865,B25_lr_h8_seen_anchor,H8,full_v3,full_v4,session_fixed,loguniform_grid5,4096,20
0.095200,0.060900,P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_01_S2,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,run_complete,beauty,2,4,run_complete,0.052400,5,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_01_s2_20260417_074754_981836_pid1508487.json,2026-04-17T07:51:45.824201Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,B02_B17_hyp_midaux_lowaux_h3__RI-01,router_input,RI-01,H3,random,essential,RI-01,ROUTER_INPUT_HIDDEN_ONLY,router_input,Force all stage router inputs to hidden only.,beauty,2,beauty:B17_hyp_midaux_lowaux_h3,P4XD_XD_BEAUTY_B17_HYP_MIDAUX_LOWAUX_H3_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4xd_xd_beauty_b17_hyp_midaux_lowaux_h3_s1_20260416_022118_916556_pid232570.json,command_log,0.0781,0.0732,B17_hyp_midaux_lowaux_h3,H3,full_v3,full_v4,session_fixed,loguniform_grid5,4096,20
0.095200,0.079800,P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_00_S2,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,run_complete,beauty,2,7,run_complete,0.047100,4,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_00_s2_20260417_074724_678753_pid1508355.json,2026-04-17T07:52:00.851029Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,B02_B17_hyp_midaux_lowaux_h3__RI-00,router_input,RI-00,H3,random,essential,RI-00,BASELINE,router_input,Replay base setting as-is.,beauty,2,beauty:B17_hyp_midaux_lowaux_h3,P4XD_XD_BEAUTY_B17_HYP_MIDAUX_LOWAUX_H3_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4xd_xd_beauty_b17_hyp_midaux_lowaux_h3_s1_20260416_022118_916556_pid232570.json,command_log,0.0781,0.0732,B17_hyp_midaux_lowaux_h3,H3,full_v3,full_v4,session_fixed,loguniform_grid5,4096,20
0.095200,0.060900,P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_01_S3,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,run_complete,beauty,3,3,run_complete,0.052400,5,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_01_s3_20260417_074757_758087_pid1508505.json,2026-04-17T07:52:00.854778Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,B02_B17_hyp_midaux_lowaux_h3__RI-01,router_input,RI-01,H3,random,essential,RI-01,ROUTER_INPUT_HIDDEN_ONLY,router_input,Force all stage router inputs to hidden only.,beauty,2,beauty:B17_hyp_midaux_lowaux_h3,P4XD_XD_BEAUTY_B17_HYP_MIDAUX_LOWAUX_H3_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4xd_xd_beauty_b17_hyp_midaux_lowaux_h3_s1_20260416_022118_916556_pid232570.json,command_log,0.0781,0.0732,B17_hyp_midaux_lowaux_h3,H3,full_v3,full_v4,session_fixed,loguniform_grid5,4096,20
0.095200,0.060900,P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_01_S4,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,run_complete,beauty,4,1,run_complete,0.052400,5,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_01_s4_20260417_074803_735348_pid1508590.json,2026-04-17T07:52:00.858111Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,B02_B17_hyp_midaux_lowaux_h3__RI-01,router_input,RI-01,H3,random,essential,RI-01,ROUTER_INPUT_HIDDEN_ONLY,router_input,Force all stage router inputs to hidden only.,beauty,2,beauty:B17_hyp_midaux_lowaux_h3,P4XD_XD_BEAUTY_B17_HYP_MIDAUX_LOWAUX_H3_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4xd_xd_beauty_b17_hyp_midaux_lowaux_h3_s1_20260416_022118_916556_pid232570.json,command_log,0.0781,0.0732,B17_hyp_midaux_lowaux_h3,H3,full_v3,full_v4,session_fixed,loguniform_grid5,4096,20
0.095200,0.079800,P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_00_S3,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,run_complete,beauty,3,5,run_complete,0.047100,4,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_00_s3_20260417_074727_816833_pid1508371.json,2026-04-17T07:52:09.871762Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,B02_B17_hyp_midaux_lowaux_h3__RI-00,router_input,RI-00,H3,random,essential,RI-00,BASELINE,router_input,Replay base setting as-is.,beauty,2,beauty:B17_hyp_midaux_lowaux_h3,P4XD_XD_BEAUTY_B17_HYP_MIDAUX_LOWAUX_H3_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4xd_xd_beauty_b17_hyp_midaux_lowaux_h3_s1_20260416_022118_916556_pid232570.json,command_log,0.0781,0.0732,B17_hyp_midaux_lowaux_h3,H3,full_v3,full_v4,session_fixed,loguniform_grid5,4096,20
0.095200,0.079800,P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_00_S4,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,run_complete,beauty,4,6,run_complete,0.047100,4,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_00_s4_20260417_074736_835608_pid1508430.json,2026-04-17T07:52:15.883260Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,B02_B17_hyp_midaux_lowaux_h3__RI-00,router_input,RI-00,H3,random,essential,RI-00,BASELINE,router_input,Replay base setting as-is.,beauty,2,beauty:B17_hyp_midaux_lowaux_h3,P4XD_XD_BEAUTY_B17_HYP_MIDAUX_LOWAUX_H3_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4xd_xd_beauty_b17_hyp_midaux_lowaux_h3_s1_20260416_022118_916556_pid232570.json,command_log,0.0781,0.0732,B17_hyp_midaux_lowaux_h3,H3,full_v3,full_v4,session_fixed,loguniform_grid5,4096,20
0.095200,0.075400,P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_02_S2,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,run_complete,beauty,2,0,run_complete,0.043800,3,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_02_s2_20260417_074812_846710_pid1508642.json,2026-04-17T07:52:39.916631Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,B02_B17_hyp_midaux_lowaux_h3__RI-02,router_input,RI-02,H3,random,essential,RI-02,ROUTER_INPUT_HIDDEN_PLUS_FEATURE,router_input,Force all stage router inputs to hidden+feature.,beauty,2,beauty:B17_hyp_midaux_lowaux_h3,P4XD_XD_BEAUTY_B17_HYP_MIDAUX_LOWAUX_H3_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4xd_xd_beauty_b17_hyp_midaux_lowaux_h3_s1_20260416_022118_916556_pid232570.json,command_log,0.0781,0.0732,B17_hyp_midaux_lowaux_h3,H3,full_v3,full_v4,session_fixed,loguniform_grid5,4096,20
0.095200,0.075400,P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_02_S3,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,run_complete,beauty,3,2,run_complete,0.043800,3,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_02_s3_20260417_074815_916332_pid1508662.json,2026-04-17T07:52:51.934760Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,B02_B17_hyp_midaux_lowaux_h3__RI-02,router_input,RI-02,H3,random,essential,RI-02,ROUTER_INPUT_HIDDEN_PLUS_FEATURE,router_input,Force all stage router inputs to hidden+feature.,beauty,2,beauty:B17_hyp_midaux_lowaux_h3,P4XD_XD_BEAUTY_B17_HYP_MIDAUX_LOWAUX_H3_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4xd_xd_beauty_b17_hyp_midaux_lowaux_h3_s1_20260416_022118_916556_pid232570.json,command_log,0.0781,0.0732,B17_hyp_midaux_lowaux_h3,H3,full_v3,full_v4,session_fixed,loguniform_grid5,4096,20
0.095200,0.075400,P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_02_S4,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,run_complete,beauty,4,4,run_complete,0.045000,5,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_02_s4_20260417_075152_473708_pid1509325.json,2026-04-17T07:56:25.374675Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,router_input,B02_B17_hyp_midaux_lowaux_h3__RI-02,router_input,RI-02,H3,random,essential,RI-02,ROUTER_INPUT_HIDDEN_PLUS_FEATURE,router_input,Force all stage router inputs to hidden+feature.,beauty,2,beauty:B17_hyp_midaux_lowaux_h3,P4XD_XD_BEAUTY_B17_HYP_MIDAUX_LOWAUX_H3_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4xd_xd_beauty_b17_hyp_midaux_lowaux_h3_s1_20260416_022118_916556_pid232570.json,command_log,0.0781,0.0732,B17_hyp_midaux_lowaux_h3,H3,full_v3,full_v4,session_fixed,loguniform_grid5,4096,20
