phase,job_key,run_phase,dataset,source_dataset,target_dataset,pair_id,triplet_id,comparison_role,pair_group,hparam_id,seed,transfer_mode,backend_transfer_mode,freeze_policy,source_checkpoint,baseline_native_checkpoint,checkpoint_export,lr_values,log_path
init,init/foursquare_to_KuaiRec/shared_3/seed_1/feature_encoder_init/no_freeze/lr_fixed1,AI502_P1_INIT_foursquare_to_kuairec_shared_3_feature_encoder_init_s1,KuaiRecLargeStrictPosV2_0.2,foursquare,KuaiRecLargeStrictPosV2_0.2,foursquare_to_KuaiRec,,,rich_context_cross,shared_3,1,feature_encoder_init,all_stage_feature_encoder,no_freeze,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/foursquare/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/init/foursquare_to_KuaiRec/shared_3/seed_1/feature_encoder_init/no_freeze/best.pth,[0.0005476],
init,init/foursquare_to_KuaiRec/shared_3/seed_1/group_router_init/no_freeze/lr_fixed1,AI502_P1_INIT_foursquare_to_kuairec_shared_3_group_router_init_s1,KuaiRecLargeStrictPosV2_0.2,foursquare,KuaiRecLargeStrictPosV2_0.2,foursquare_to_KuaiRec,,,rich_context_cross,shared_3,1,group_router_init,all_stage_group_router,no_freeze,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/foursquare/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/init/foursquare_to_KuaiRec/shared_3/seed_1/group_router_init/no_freeze/best.pth,[0.0005476],
init,init/foursquare_to_KuaiRec/shared_3/seed_1/feature_encoder_group_router_init/no_freeze/lr_fixed1,AI502_P1_INIT_foursquare_to_kuairec_shared_3_feature_encoder_group_router_init_s1,KuaiRecLargeStrictPosV2_0.2,foursquare,KuaiRecLargeStrictPosV2_0.2,foursquare_to_KuaiRec,,,rich_context_cross,shared_3,1,feature_encoder_group_router_init,feature_encoder_group_router,no_freeze,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/foursquare/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/init/foursquare_to_KuaiRec/shared_3/seed_1/feature_encoder_group_router_init/no_freeze/best.pth,[0.0005476],
init,init/foursquare_to_KuaiRec/shared_3/seed_1/all_router_init/no_freeze/lr_fixed1,AI502_P1_INIT_foursquare_to_kuairec_shared_3_all_router_init_s1,KuaiRecLargeStrictPosV2_0.2,foursquare,KuaiRecLargeStrictPosV2_0.2,foursquare_to_KuaiRec,,,rich_context_cross,shared_3,1,all_router_init,all_stage_full_router,no_freeze,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/foursquare/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/init/foursquare_to_KuaiRec/shared_3/seed_1/all_router_init/no_freeze/best.pth,[0.0005476],
init,init/foursquare_to_KuaiRec/shared_3/seed_1/feature_encoder_router_init/no_freeze/lr_fixed1,AI502_P1_INIT_foursquare_to_kuairec_shared_3_feature_encoder_router_init_s1,KuaiRecLargeStrictPosV2_0.2,foursquare,KuaiRecLargeStrictPosV2_0.2,foursquare_to_KuaiRec,,,rich_context_cross,shared_3,1,feature_encoder_router_init,feature_encoder_router,no_freeze,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/foursquare/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/init/foursquare_to_KuaiRec/shared_3/seed_1/feature_encoder_router_init/no_freeze/best.pth,[0.0005476],
init,init/foursquare_to_KuaiRec/shared_3/seed_1/feature_encoder_a12_router_init/no_freeze/lr_fixed1,AI502_P1_INIT_foursquare_to_kuairec_shared_3_feature_encoder_a12_router_init_s1,KuaiRecLargeStrictPosV2_0.2,foursquare,KuaiRecLargeStrictPosV2_0.2,foursquare_to_KuaiRec,,,rich_context_cross,shared_3,1,feature_encoder_a12_router_init,feature_encoder_active_router,no_freeze,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/foursquare/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/init/foursquare_to_KuaiRec/shared_3/seed_1/feature_encoder_a12_router_init/no_freeze/best.pth,[0.0005476],
init,init/foursquare_to_KuaiRec/shared_3/seed_1/full_model_init/no_freeze/lr_fixed1,AI502_P1_INIT_foursquare_to_kuairec_shared_3_full_model_init_s1,KuaiRecLargeStrictPosV2_0.2,foursquare,KuaiRecLargeStrictPosV2_0.2,foursquare_to_KuaiRec,,,rich_context_cross,shared_3,1,full_model_init,full_model,no_freeze,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/foursquare/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/init/foursquare_to_KuaiRec/shared_3/seed_1/full_model_init/no_freeze/best.pth,[0.0005476],
init,init/foursquare_to_KuaiRec/shared_3/seed_1/full_except_feature_router_init/no_freeze/lr_fixed1,AI502_P1_INIT_foursquare_to_kuairec_shared_3_full_except_feature_router_init_s1,KuaiRecLargeStrictPosV2_0.2,foursquare,KuaiRecLargeStrictPosV2_0.2,foursquare_to_KuaiRec,,,rich_context_cross,shared_3,1,full_except_feature_router_init,full_except_feature_router,no_freeze,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/foursquare/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/init/foursquare_to_KuaiRec/shared_3/seed_1/full_except_feature_router_init/no_freeze/best.pth,[0.0005476],
init,init/foursquare_to_KuaiRec/shared_3/seed_2/feature_encoder_init/no_freeze/lr_fixed1,AI502_P1_INIT_foursquare_to_kuairec_shared_3_feature_encoder_init_s2,KuaiRecLargeStrictPosV2_0.2,foursquare,KuaiRecLargeStrictPosV2_0.2,foursquare_to_KuaiRec,,,rich_context_cross,shared_3,2,feature_encoder_init,all_stage_feature_encoder,no_freeze,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/foursquare/shared_3/seed_2/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_2/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/init/foursquare_to_KuaiRec/shared_3/seed_2/feature_encoder_init/no_freeze/best.pth,[0.0005476],
init,init/foursquare_to_KuaiRec/shared_3/seed_2/group_router_init/no_freeze/lr_fixed1,AI502_P1_INIT_foursquare_to_kuairec_shared_3_group_router_init_s2,KuaiRecLargeStrictPosV2_0.2,foursquare,KuaiRecLargeStrictPosV2_0.2,foursquare_to_KuaiRec,,,rich_context_cross,shared_3,2,group_router_init,all_stage_group_router,no_freeze,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/foursquare/shared_3/seed_2/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_2/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/init/foursquare_to_KuaiRec/shared_3/seed_2/group_router_init/no_freeze/best.pth,[0.0005476],
