phase,job_key,run_phase,dataset,source_dataset,target_dataset,pair_id,triplet_id,comparison_role,pair_group,hparam_id,seed,transfer_mode,backend_transfer_mode,freeze_policy,source_checkpoint,baseline_native_checkpoint,checkpoint_export,lr_values,log_path
native,native/retail_rocket/shared_3/seed_1/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_3_s1,retail_rocket,,retail_rocket,,,,,shared_3,1,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_3/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_3/seed_1/best.pth,[0.00056966],
native,native/retail_rocket/shared_3/seed_2/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_3_s2,retail_rocket,,retail_rocket,,,,,shared_3,2,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_3/seed_2/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_3/seed_2/best.pth,[0.00056966],
native,native/retail_rocket/shared_3/seed_3/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_3_s3,retail_rocket,,retail_rocket,,,,,shared_3,3,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_3/seed_3/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_3/seed_3/best.pth,[0.00056966],
native,native/retail_rocket/shared_4/seed_1/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_4_s1,retail_rocket,,retail_rocket,,,,,shared_4,1,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_4/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_4/seed_1/best.pth,[0.00056966],
native,native/retail_rocket/shared_4/seed_2/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_4_s2,retail_rocket,,retail_rocket,,,,,shared_4,2,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_4/seed_2/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_4/seed_2/best.pth,[0.00056966],
native,native/retail_rocket/shared_4/seed_3/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_4_s3,retail_rocket,,retail_rocket,,,,,shared_4,3,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_4/seed_3/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_4/seed_3/best.pth,[0.00056966],
native,native/retail_rocket/shared_5/seed_1/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_5_s1,retail_rocket,,retail_rocket,,,,,shared_5,1,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_5/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_5/seed_1/best.pth,[0.00056966],
native,native/retail_rocket/shared_5/seed_2/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_5_s2,retail_rocket,,retail_rocket,,,,,shared_5,2,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_5/seed_2/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_5/seed_2/best.pth,[0.00056966],
native,native/retail_rocket/shared_5/seed_3/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_5_s3,retail_rocket,,retail_rocket,,,,,shared_5,3,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_5/seed_3/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_5/seed_3/best.pth,[0.00056966],
native,native/retail_rocket/shared_6/seed_1/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_6_s1,retail_rocket,,retail_rocket,,,,,shared_6,1,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_6/seed_1/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_6/seed_1/best.pth,[0.00056966],
native,native/retail_rocket/shared_6/seed_2/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_6_s2,retail_rocket,,retail_rocket,,,,,shared_6,2,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_6/seed_2/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_6/seed_2/best.pth,[0.00056966],
native,native/retail_rocket/shared_6/seed_3/none/scratch/lr_fixed1,AI502_P0_NATIVE_retail_rocket_shared_6_s3,retail_rocket,,retail_rocket,,,,,shared_6,3,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_6/seed_3/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/retail_rocket/shared_6/seed_3/best.pth,[0.00056966],
