combo_id,combo_family,combo_role,combo_desc,layout,routing_granularity,stage_feature_encoder_mode,stage_router_mode,stage_router_source,stage_feature_injection,baseline_delta,has_diag,smoke_total_min,smoke_trial_min,fixed_overhead_min,observed_smoke_total_min,observed_smoke_trial_min,est_50ep_single_eval_min,recommended_max_evals,recommended_total_budget_min,runtime_bucket,runtime_reason,source_log
P00,P,exact plain C2,plain_c2_one_layer,layer,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C2 baseline -> 1-layer plain SASRec-style stack,False,0.6,0.15,0.45,0.6,0.15,8.0,3,23.9,fast,"plain SASRec-style stack only; no stage feature path, no diag",experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/001_P00_plain_c2_one_layer.log
P01,P,exact plain C3,plain_c3_three_layer,layer layer layer,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> 3-layer plain SASRec-style stack,False,0.6,0.17,0.43,0.6,0.17,8.8,3,26.3,fast,"plain SASRec-style stack only; no stage feature path, no diag",experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/002_P01_plain_c3_three_layer.log
D10,D,dense plain wrapper,dense_plain_macro_mid,macro mid,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","C3 baseline -> stage wrapper only, dense plain, macro+mid",False,0.5,0.17,0.33,0.5,0.17,8.7,3,26.0,fast,"dense stage wrapper only; diag off, no expert routing dispatch",experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/003_D10_dense_plain_macro_mid.log
D11,D,dense plain wrapper full,dense_plain_macro_mid_micro,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","C3 baseline -> stage wrapper only, dense plain, full",False,0.5,0.17,0.33,0.5,0.17,8.7,3,26.0,fast,"dense stage wrapper only; diag off, no expert routing dispatch",experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/004_D11_dense_plain_macro_mid_micro.log
D12,D,dense FiLM,dense_film_macro_mid,macro mid,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'film', 'mid': 'film', 'micro': 'none'}","C3 baseline -> dense plain + FiLM, macro+mid",False,0.5,0.17,0.33,0.5,0.17,8.7,3,26.0,fast,"dense stage wrapper only; diag off, no expert routing dispatch",experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/005_D12_dense_film_macro_mid.log
D13,D,dense FiLM full,dense_film_macro_mid_micro,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'film', 'mid': 'film', 'micro': 'film'}","C3 baseline -> dense plain + FiLM, full",False,0.6,0.18,0.42,0.6,0.18,9.6,3,28.7,fast,"dense stage wrapper only; diag off, no expert routing dispatch",experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/006_D13_dense_film_macro_mid_micro.log
D14,D,dense gated bias,dense_gated_macro_mid,macro mid,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'gated_bias', 'mid': 'gated_bias', 'micro': 'none'}","C3 baseline -> dense plain + gated bias, macro+mid",False,0.5,0.17,0.33,0.5,0.17,8.7,3,26.0,fast,"dense stage wrapper only; diag off, no expert routing dispatch",experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/007_D14_dense_gated_macro_mid.log
D15,D,dense gated bias full,dense_gated_macro_mid_micro,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'gated_bias', 'mid': 'gated_bias', 'micro': 'gated_bias'}","C3 baseline -> dense plain + gated bias, full",False,0.6,0.18,0.42,0.6,0.18,9.6,3,28.7,fast,"dense stage wrapper only; diag off, no expert routing dispatch",experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/008_D15_dense_gated_macro_mid_micro.log
M20,M,macro-only learned MoE both,macro_only_moe_both,macro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'none', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","C3 baseline -> macro-only learned router, hidden+feature",True,0.9,0.5,0.4,0.9,0.5,25.4,3,76.2,medium,one stage only; MoE routing + diag cost appears but limited to macro,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/032_M20_macro_only_moe_both.log
M21,M,macro+mid learned MoE both,macro_mid_moe_both,macro mid,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","C3 baseline -> macro+mid learned router, hidden+feature",True,1.2,0.85,0.35,1.2,0.85,42.9,3,128.6,medium,two stage MoE path; one extra stage attention and routing pass,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/031_M21_macro_mid_moe_both.log
