stage_name,stage_key,split,aggregation_level,node_kind,node_name,route_space,support_size,wrapper_name,source_type,temperature,top_k,entropy_norm,n_eff_norm,top1_monopoly_norm,jitter_adj_norm,knn_consistency_score,knn_consistency_js,n_eff,cv_usage,top1_max_frac,entropy_mean
macro,macro@1,best_valid,session,final,final.expert,expert,12,ScalarGroupConditionalProductWrapper,,,,0.5870021452162674,0.3986573331153898,0.37657969832857724,0.6518191091465488,1.0,0.0,4.783887997384678,1.2281774810499704,0.4285313901345291,1.4586455340877242
macro,macro@1,best_valid,session,final,final.group,group,4,ScalarGroupConditionalProductWrapper,,,,0.6550724218431762,0.7769899453414039,0.1928251121076233,0.0,1.0,0.0,3.1079597813656155,0.5357406778026436,0.39461883408071746,0.9081232045263453
macro,macro@1,best_valid,session,final,final.intra.Exposure,intra,3,ScalarGroupConditionalProductWrapper,,,,0.7554485297615975,0.8023809320550596,0.6355100896860986,0.0,1.0,0.0,2.4071427961651786,0.4962769598878336,0.7570067264573991,0.8299450382523472
macro,macro@1,best_valid,session,final,final.intra.Focus,intra,3,ScalarGroupConditionalProductWrapper,,,,0.6703581882993768,0.6664740006782638,0.7885369955156949,0.0,1.0,0.0,1.9994220020347913,0.7074134920485909,0.85902466367713,0.736463743474986
macro,macro@1,best_valid,session,final,final.intra.Memory,intra,3,ScalarGroupConditionalProductWrapper,,,,0.33226526916273724,0.42342485244488803,0.9714125560538115,0.0,1.0,0.0,1.270274557334664,1.166916454824315,0.9809417040358744,0.3650307077998003
macro,macro@1,best_valid,session,final,final.intra.Tempo,intra,3,ScalarGroupConditionalProductWrapper,,,,0.4998934318070004,0.5270403695096951,0.8911154708520178,0.0,1.0,0.0,1.5811211085290853,0.9473055914847377,0.9274103139013453,0.5491890672076444
mid,mid@1,best_valid,session,final,final.expert,expert,12,ScalarGroupConditionalProductWrapper,,,,0.7809671979632355,0.7149062598319916,0.21606196494088872,0.7555253315198912,1.0,0.0,8.5788751179839,0.6314938625248115,0.28139013452914796,1.9406305834851458
mid,mid@1,best_valid,session,final,final.group,group,4,ScalarGroupConditionalProductWrapper,,,,0.745536912679687,0.809920947673997,0.40171898355754854,0.0,1.0,0.0,3.239683790695988,0.4844464659690857,0.5512892376681614,1.0335336180545824
mid,mid@1,best_valid,session,final,final.intra.Exposure,intra,3,ScalarGroupConditionalProductWrapper,,,,0.8226905681888674,0.8488569393174017,0.5913677130044843,0.0,1.0,0.0,2.546570817952205,0.4219655119787004,0.7275784753363229,0.9038179679836393
mid,mid@1,best_valid,session,final,final.intra.Focus,intra,3,ScalarGroupConditionalProductWrapper,,,,0.8947522656618531,0.9679445828427181,0.3008688340807174,0.0,1.0,0.0,2.9038337485281542,0.18198057839332288,0.5339125560538116,0.982985834369745
mid,mid@1,best_valid,session,final,final.intra.Memory,intra,3,ScalarGroupConditionalProductWrapper,,,,0.7374149342766124,0.7587160493693167,0.6914237668161435,0.0,1.0,0.0,2.27614814810795,0.5639291982671858,0.7942825112107623,0.8101331086436729
mid,mid@1,best_valid,session,final,final.intra.Tempo,intra,3,ScalarGroupConditionalProductWrapper,,,,0.8402014832568145,0.9710795432807249,0.14742152466367717,0.0,1.0,0.0,2.9132386298421746,0.17257369167883124,0.4316143497757848,0.9230556744631095
micro,micro@1,best_valid,token,final,final.expert,expert,12,ScalarGroupConditionalProductWrapper,,,,0.8592560107864546,0.6352395803421382,0.33958418263351,0.5362121727303638,1.0,0.0,7.622874964105659,0.7577656200211501,0.39461883408071746,2.135170975073571
micro,micro@1,best_valid,token,final,final.group,group,4,ScalarGroupConditionalProductWrapper,,,,0.8018203714612806,0.6771076393967366,0.9626307922272047,0.0,1.0,0.0,2.7084305575869463,0.6905578374862671,0.9719730941704036,1.1115590595878293
micro,micro@1,best_valid,token,final,final.intra.Exposure,intra,3,ScalarGroupConditionalProductWrapper,,,,0.9884903147627333,0.9939571241909059,0.18021300448430494,0.0,1.0,0.0,2.9818713725727175,0.07797136670436362,0.45347533632286996,1.0859676070277466
micro,micro@1,best_valid,token,final,final.intra.Focus,intra,3,ScalarGroupConditionalProductWrapper,,,,0.7801760719221745,0.6775162775763435,0.9945347533632285,0.0,1.0,0.0,2.0325488327290304,0.6899124625351292,0.9963565022421524,0.857111019938516
micro,micro@1,best_valid,token,final,final.intra.Memory,intra,3,ScalarGroupConditionalProductWrapper,,,,0.9480487271757182,0.9168517137274631,0.8789237668161435,0.0,1.0,0.0,2.750555141182389,0.30114587989014746,0.9192825112107623,1.0415379819314041
micro,micro@1,best_valid,token,final,final.intra.Tempo,intra,3,ScalarGroupConditionalProductWrapper,,,,0.7804136822404538,0.6853692402221961,0.9865470852017937,0.0,1.0,0.0,2.0561077206665885,0.6775451994673848,0.9910313901345291,0.857372061554092
