question,stage,dataset,model,family,panel_family,variant_group,variant_label,variant_order,job_id,parent_job_id,run_phase,setting_key,setting_label,base_rank,base_tag,seed_id,runtime_seed,gpu_id,status,selection_rule,valid_score,test_score,best_valid_mrr20,test_mrr20,checkpoint_file,result_path,base_result_json,log_path,elapsed_sec,error,timestamp_utc,best_valid_mean,test_mean,best_valid_seen_mean,test_seen_mean,best_valid_ndcg20,test_ndcg20,best_valid_hit10,test_hit10,best_valid_seen_mrr20,test_seen_mrr20
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,single_view,Single-view,1,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R01_S1,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R01_S1,single_view_mid,Single View (Mid),1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960004,resume,ok,overall_seen_target,0.026566666666666666,0.34450012219624093,0.0191,0.3367,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_single_view_mid_r01_s1_20260419_224332_728415_pid1036981.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R01_S1.log,1285.3185858726501,,2026-04-20T01:10:42.617980Z,0.026566666666666666,0.3444777777777778,0.026552690079420883,0.34450012219624093,0.0278,0.345,0.0364,0.3572,0.019057991556955946,0.336738023994551
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,best_two_view,Best 2-view,2,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R01_S1,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R01_S1,two_view_remove_macro,Best Two-View Candidate (No Macro),1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960010,resume,ok,overall_seen_target,0.024666666666666667,0.3441418790437732,0.0191,0.339,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_two_view_remove_macro_r01_s1_20260419_230340_063705_pid1042260.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R01_S1.log,1542.4763832092285,,2026-04-20T01:10:42.625486Z,0.024666666666666667,0.3441222222222222,0.02466361247551104,0.3441418790437732,0.0255,0.3452,0.0322,0.3505,0.019110319819040215,0.33899496919146976
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,final_three_stage,Final 3-stage,3,Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R01_S1,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R01_S1,final_three_stage,Final Three-Stage,1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960019,resume,ok,overall_seen_target,0.026911111111111115,0.3484333333333333,0.0193,0.3403,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_final_three_stage_r01_s1_20260419_232922_925088_pid1048981.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R01_S1.log,2210.6705157756805,,2026-04-20T01:10:42.636829Z,0.026911111111111115,0.3484333333333333,0.026909349148773923,0.3484225251555584,0.0284,0.3484,0.0356,0.3595,0.019255424095525938,0.3402973101302264
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,single_view,Single-view,1,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R01_S2,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R01_S2,single_view_mid,Single View (Mid),1,kuaireclargestrictposv2_0_2_top01_rfmoe,2,960005,resume,ok,overall_seen_target,0.026529100723446983,0.344495434167541,0.019,0.3367,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_single_view_mid_r01_s2_20260419_224332_762220_pid1036985.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R01_S2.log,1303.53612947464,,2026-04-20T01:10:42.619254Z,0.026522222222222218,0.3444777777777778,0.026529100723446983,0.344495434167541,0.0278,0.345,0.0364,0.3572,0.018961477060578186,0.336730297754987
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,best_two_view,Best 2-view,2,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R01_S2,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R01_S2,two_view_remove_macro,Best Two-View Candidate (No Macro),1,kuaireclargestrictposv2_0_2_top01_rfmoe,2,960011,resume,ok,overall_seen_target,0.026488888888888885,0.34508888888888894,0.0189,0.3365,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_two_view_remove_macro_r01_s2_20260419_230458_150136_pid1042598.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R01_S2.log,1498.8208546638489,,2026-04-20T01:10:42.626697Z,0.026488888888888885,0.34508888888888894,0.026487890165436418,0.34507075553956695,0.0268,0.3457,0.036,0.3561,0.01885983260512894,0.3364549450751515
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,final_three_stage,Final 3-stage,3,Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R01_S2,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R01_S2,final_three_stage,Final Three-Stage,1,kuaireclargestrictposv2_0_2_top01_rfmoe,2,960020,resume,ok,overall_seen_target,0.026872951249398258,0.34828680276980123,0.0193,0.3402,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_final_three_stage_r01_s2_20260419_232956_903103_pid1049135.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R01_S2.log,2248.533413171768,,2026-04-20T01:10:42.638057Z,0.02686666666666667,0.34827777777777774,0.026872951249398258,0.34828680276980123,0.0286,0.3479,0.0349,0.3595,0.019341511268616173,0.3401925425605237
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,single_view,Single-view,1,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R01_S3,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R01_S3,single_view_mid,Single View (Mid),1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,960006,resume,ok,overall_seen_target,0.026655555555555557,0.3452310033302017,0.0189,0.3362,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_single_view_mid_r01_s3_20260419_224332_717015_pid1036988.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R01_S3.log,1292.1159369945526,,2026-04-20T01:10:42.620488Z,0.026655555555555557,0.3452222222222222,0.02664722710007778,0.3452310033302017,0.0278,0.345,0.036,0.3583,0.01892347899930818,0.33623328523382895
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,best_two_view,Best 2-view,2,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MICRO_R01_S3,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MICRO_R01_S3,two_view_remove_micro,Best Two-View Candidate (No Micro),1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,960018,resume,ok,overall_seen_target,0.02562222222222222,0.3451911736355279,0.0186,0.3388,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_two_view_remove_micro_r01_s3_20260419_232911_372077_pid1048898.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MICRO_R01_S3.log,1581.9943640232086,,2026-04-20T01:10:42.635591Z,0.02562222222222222,0.3451888888888889,0.02560331074730416,0.3451911736355279,0.026,0.3457,0.036,0.3527,0.01857704182366116,0.3388301201106319
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,final_three_stage,Final 3-stage,3,Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R01_S3,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R01_S3,final_three_stage,Final Three-Stage,1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,960021,resume,ok,overall_seen_target,0.02618888888888889,0.34741503047306427,0.0195,0.3386,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_final_three_stage_r01_s3_20260419_233035_290062_pid1049326.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R01_S3.log,2306.404595375061,,2026-04-20T01:10:42.639361Z,0.02618888888888889,0.3474111111111111,0.026183367664839294,0.34741503047306427,0.0272,0.3477,0.0341,0.3606,0.019536812478120964,0.33859162952454736
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,single_view,Single-view,1,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MACRO_R02_S1,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MACRO_R02_S1,single_view_macro,Single View (Macro),2,kuaireclargestrictposv2_0_2_top02_rfmoe,1,960034,resume,ok,overall_seen_target,0.023059779748557108,0.3193907736549964,0.0177,0.3066,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_single_view_macro_r02_s1_20260420_003411_925490_pid1078972.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MACRO_R02_S1.log,1336.7409262657166,,2026-04-20T01:10:42.654842Z,0.023044444444444444,0.31937777777777776,0.023059779748557108,0.3193907736549964,0.0236,0.3182,0.0303,0.3404,0.01773180703478313,0.30664452568764516
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,best_two_view,Best 2-view,2,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R02_S1,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R02_S1,two_view_remove_macro,Best Two-View Candidate (No Macro),2,kuaireclargestrictposv2_0_2_top02_rfmoe,1,960043,2,ok,overall_seen_target,0.02451111111111111,0.34154444444444443,0.0191,0.336,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_two_view_remove_macro_r02_s1_20260420_011104_117475_pid1106421.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R02_S1.log,2236.5640382766724,,2026-04-20T01:48:15.960523Z,0.02451111111111111,0.34154444444444443,0.0245083422274932,0.3415257610803378,0.0251,0.3436,0.0299,0.346,0.01909675789617959,0.33596370021696853
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,final_three_stage,Final 3-stage,3,Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R02_S1,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R02_S1,final_three_stage,Final Three-Stage,2,kuaireclargestrictposv2_0_2_top02_rfmoe,1,960052,7,ok,overall_seen_target,0.024196021914925054,0.3449777777777778,0.0179,0.3372,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_final_three_stage_r02_s1_20260420_013727_473120_pid1125648.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_FINAL_THREE_STAGE_R02_S1.log,1091.9276008605957,,2026-04-20T01:55:34.370336Z,0.024188888888888888,0.3449777777777778,0.024196021914925054,0.34497631849697663,0.0248,0.3456,0.0341,0.3539,0.017896425221771758,0.33722705690217314
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,single_view,Single-view,1,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MICRO_R02_S2,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MICRO_R02_S2,single_view_micro,Single View (Micro),2,kuaireclargestrictposv2_0_2_top02_rfmoe,2,960041,0,ok,overall_seen_target,0.024211111111111114,0.34281215698817363,0.0186,0.3359,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_single_view_micro_r02_s2_20260420_011104_161821_pid1106420.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MICRO_R02_S2.log,1366.172725200653,,2026-04-20T01:33:45.564763Z,0.024211111111111114,0.3427888888888889,0.024201179415202136,0.34281215698817363,0.0251,0.3432,0.0311,0.3527,0.018555492710416722,0.33590394611421387
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,best_two_view,Best 2-view,2,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R02_S2,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R02_S2,two_view_remove_macro,Best Two-View Candidate (No Macro),2,kuaireclargestrictposv2_0_2_top02_rfmoe,2,960044,3,ok,overall_seen_target,0.0245,0.3413777777777777,0.0192,0.336,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_two_view_remove_macro_r02_s2_20260420_011104_125541_pid1106426.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MACRO_R02_S2.log,1837.388807296753,,2026-04-20T01:41:36.796403Z,0.0245,0.3413777777777777,0.024479570403123554,0.34135163315145756,0.0251,0.3436,0.0299,0.3449,0.019188973077231622,0.33595722884123297
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,single_view,Single-view,1,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MICRO_R02_S3,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MICRO_R02_S3,single_view_micro,Single View (Micro),2,kuaireclargestrictposv2_0_2_top02_rfmoe,3,960042,1,ok,overall_seen_target,0.025433333333333332,0.3386907504353043,0.0185,0.3333,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_single_view_micro_r02_s3_20260420_011104_026877_pid1106423.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MICRO_R02_S3.log,1333.292858839035,,2026-04-20T01:33:12.689735Z,0.025433333333333332,0.3386888888888888,0.02541909862437839,0.3386907504353043,0.0255,0.339,0.0349,0.346,0.018477659647089372,0.3333064652603925
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,best_two_view,Best 2-view,2,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MID_R02_S3,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MID_R02_S3,two_view_remove_mid,Best Two-View Candidate (No Mid),2,kuaireclargestrictposv2_0_2_top02_rfmoe,3,960048,7,ok,overall_seen_target,0.026192949358678948,0.3428048224037628,0.0186,0.3312,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_two_view_remove_mid_r02_s3_20260420_011104_031138_pid1106430.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_TWO_VIEW_REMOVE_MID_R02_S3.log,1583.0156464576721,,2026-04-20T01:37:22.437520Z,0.026188888888888887,0.3428,0.026192949358678948,0.3428048224037628,0.0267,0.3436,0.0375,0.3662,0.018564149446562414,0.3312314221633375
q3,q3,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,temporal_decomp,single_view,Single-view,1,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R03_S1,,Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R03_S1,single_view_mid,Single View (Mid),3,kuaireclargestrictposv2_0_2_top03_rfmoe,1,960070,4,ok,overall_seen_target,0.026449897133018145,0.34963333333333335,0.0192,0.3409,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q3_kuaireclargestrictposv2_0_2_single_view_mid_r03_s1_20260420_021533_085027_pid1139698.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q3/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q3_KUAIRECLARGESTRICTPOSV2_0_2_SINGLE_VIEW_MID_R03_S1.log,1348.5336229801178,,2026-04-20T02:37:56.653399Z,0.02644444444444444,0.34963333333333335,0.026449897133018145,0.34962737450279513,0.027,0.3495,0.0356,0.3628,0.019216579903522737,0.340851197438471
