question,stage,dataset,model,family,panel_family,variant_group,variant_label,variant_order,job_id,parent_job_id,run_phase,setting_key,setting_label,base_rank,base_tag,seed_id,runtime_seed,gpu_id,status,selection_rule,valid_score,test_score,best_valid_mrr20,test_mrr20,checkpoint_file,result_path,base_result_json,log_path,elapsed_sec,error,timestamp_utc,best_valid_mean,test_mean,best_valid_seen_mean,test_seen_mean,best_valid_ndcg20,test_ndcg20,best_valid_hit10,test_hit10,best_valid_seen_mrr20,test_seen_mrr20
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,shared_ffn,Shared FFN,1,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S1,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S1,shared_ffn,Shared FFN,1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960001,resume,ok,overall_seen_target,0.0251453076404768,0.3096555555555556,0.0189,0.2955,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_shared_ffn_r01_s1_20260419_165856_676589_pid950906.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S1.log,769.5305504798889,,2026-04-20T01:10:39.933221Z,0.0251333333333333,0.3096555555555556,0.0251453076404768,0.3096438463435691,0.283333,0.283333,0.3154,0.3154,0.0188817178146569,0.2954626611464168
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,shared_ffn,Shared FFN,1,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S2,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S2,shared_ffn,Shared FFN,1,kuaireclargestrictposv2_0_2_top01_rfmoe,2,960002,resume,ok,overall_seen_target,0.0256602102033045,0.2739333333333333,0.0198,0.2536,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_shared_ffn_r01_s2_20260419_165856_634385_pid950910.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S2.log,853.2426376342773,,2026-04-20T01:10:39.934366Z,0.0256333333333333,0.2739333333333333,0.0256602102033045,0.2739245610317885,0.283333,0.283333,0.3154,0.3154,0.0198336577550418,0.25358944764196
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,shared_ffn,Shared FFN,1,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S3,shared_ffn,Shared FFN,1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,960003,resume,ok,overall_seen_target,0.0256061711616842,0.2740669539894715,0.0198,0.2536,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_shared_ffn_r01_s3_20260419_165856_610692_pid950904.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S3.log,941.18847322464,,2026-04-20T01:10:39.935311Z,0.0255999999999999,0.2740666666666667,0.0256061711616842,0.2740669539894715,0.283333,0.283333,0.3154,0.3154,0.0198403628738529,0.2536077073421683
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,hidden_only,Hidden only,2,Q2_KUAIRECLARGESTRICTPOSV2_0_2_HIDDEN_ONLY_R01_S1,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_HIDDEN_ONLY_R01_S1,hidden_only,Hidden Only,1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960004,resume,ok,overall_seen_target,0.0269788493740348,0.345656226046223,0.0201,0.337,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_hidden_only_r01_s1_20260419_165856_687953_pid950913.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_HIDDEN_ONLY_R01_S1.log,1572.6719872951508,,2026-04-20T01:10:39.936290Z,0.0269777777777777,0.3456444444444445,0.0269788493740348,0.345656226046223,0.345933,0.345933,0.3568,0.3568,0.0201042412203927,0.3370458804496458
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,hidden_only,Hidden only,2,Q2_KUAIRECLARGESTRICTPOSV2_0_2_HIDDEN_ONLY_R01_S2,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_HIDDEN_ONLY_R01_S2,hidden_only,Hidden Only,1,kuaireclargestrictposv2_0_2_top01_rfmoe,2,960005,resume,ok,overall_seen_target,0.0268,0.3459,0.0199,0.3374,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_hidden_only_r01_s2_20260419_165856_491659_pid950909.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_HIDDEN_ONLY_R01_S2.log,1487.5545654296875,,2026-04-20T01:10:39.937271Z,0.0268,0.3459,0.0267975730328596,0.3458970375006785,0.345933,0.345933,0.3568,0.3568,0.0199192762953646,0.3373650726711029
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,hidden_only,Hidden only,2,Q2_KUAIRECLARGESTRICTPOSV2_0_2_HIDDEN_ONLY_R01_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_HIDDEN_ONLY_R01_S3,hidden_only,Hidden Only,1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,960006,resume,ok,overall_seen_target,0.0253299685243475,0.3449888888888888,0.0187,0.3363,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_hidden_only_r01_s3_20260419_165856_631189_pid950911.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_HIDDEN_ONLY_R01_S3.log,1638.9615223407743,,2026-04-20T01:10:39.938236Z,0.0253111111111111,0.3449888888888888,0.0253299685243475,0.3449844877457269,0.345933,0.345933,0.3568,0.3568,0.0186795328389789,0.3362735332910718
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,feature_fusion_bias,Fusion bias,3,Q2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURE_FUSION_BIAS_R01_S1,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURE_FUSION_BIAS_R01_S1,feature_fusion_bias,Fusion Bias,1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960007,resume,ok,overall_seen_target,0.0244333333333333,0.3086679662674336,0.0184,0.2958,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_feature_fusion_bias_r01_s1_20260419_165856_617604_pid950914.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURE_FUSION_BIAS_R01_S1.log,662.3523154258728,,2026-04-20T01:10:39.939174Z,0.0244333333333333,0.3086555555555555,0.024431674185301,0.3086679662674336,0.307967,0.307967,0.323567,0.323567,0.0183782795865502,0.2957654819434794
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,feature_fusion_bias,Fusion bias,3,Q2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURE_FUSION_BIAS_R01_S2,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURE_FUSION_BIAS_R01_S2,feature_fusion_bias,Fusion Bias,1,kuaireclargestrictposv2_0_2_top01_rfmoe,2,960008,resume,ok,overall_seen_target,0.0244327765678858,0.310196498837899,0.0182,0.2971,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_feature_fusion_bias_r01_s2_20260419_165856_520605_pid950912.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURE_FUSION_BIAS_R01_S2.log,667.3655338287354,,2026-04-20T01:10:39.940163Z,0.0244222222222222,0.3101777777777778,0.0244327765678858,0.310196498837899,0.307967,0.307967,0.323567,0.323567,0.0181757402791584,0.2971301266437549
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,feature_fusion_bias,Fusion bias,3,Q2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURE_FUSION_BIAS_R01_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURE_FUSION_BIAS_R01_S3,feature_fusion_bias,Fusion Bias,1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,960009,resume,ok,overall_seen_target,0.0239697984427566,0.3075888888888889,0.0181,0.2959,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_feature_fusion_bias_r01_s3_20260419_170959_105112_pid954675.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURE_FUSION_BIAS_R01_S3.log,728.846355676651,,2026-04-20T01:10:39.941113Z,0.0239666666666666,0.3075888888888889,0.0239697984427566,0.3075809436635294,0.307967,0.307967,0.323567,0.323567,0.0181138446796636,0.2959030704428874
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,mixed_hidden_behavior,Mixed,4,Q2_KUAIRECLARGESTRICTPOSV2_0_2_MIXED_HIDDEN_BEHAVIOR_R01_S1,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_MIXED_HIDDEN_BEHAVIOR_R01_S1,mixed_hidden_behavior,Mixed Hidden+Behavior,1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960010,resume,ok,overall_seen_target,0.0266567461302715,0.3462202255564853,0.02,0.3374,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_mixed_hidden_behavior_r01_s1_20260419_171004_657713_pid954714.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_MIXED_HIDDEN_BEHAVIOR_R01_S1.log,1576.2263369560242,,2026-04-20T01:10:39.942084Z,0.0266444444444444,0.3462111111111111,0.0266567461302715,0.3462202255564853,0.3463,0.3463,0.356433,0.356433,0.0199512229549835,0.3374249603503362
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,mixed_hidden_behavior,Mixed,4,Q2_KUAIRECLARGESTRICTPOSV2_0_2_MIXED_HIDDEN_BEHAVIOR_R01_S2,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_MIXED_HIDDEN_BEHAVIOR_R01_S2,mixed_hidden_behavior,Mixed Hidden+Behavior,1,kuaireclargestrictposv2_0_2_top01_rfmoe,2,960011,resume,ok,overall_seen_target,0.0268333333333333,0.3454261220638411,0.02,0.3369,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_mixed_hidden_behavior_r01_s2_20260419_171146_568022_pid955296.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_MIXED_HIDDEN_BEHAVIOR_R01_S2.log,1487.2967483997345,,2026-04-20T01:10:39.943055Z,0.0268333333333333,0.3454222222222222,0.0268232677984986,0.3454261220638411,0.3463,0.3463,0.356433,0.356433,0.0200442777182194,0.3368597833600316
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,mixed_hidden_behavior,Mixed,4,Q2_KUAIRECLARGESTRICTPOSV2_0_2_MIXED_HIDDEN_BEHAVIOR_R01_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_MIXED_HIDDEN_BEHAVIOR_R01_S3,mixed_hidden_behavior,Mixed Hidden+Behavior,1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,960012,resume,ok,overall_seen_target,0.0260555555555555,0.345398756423848,0.019,0.3369,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_mixed_hidden_behavior_r01_s3_20260419_171310_574231_pid955727.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_MIXED_HIDDEN_BEHAVIOR_R01_S3.log,1644.9279482364657,,2026-04-20T01:10:39.944036Z,0.0260555555555555,0.3453888888888888,0.0260453506142577,0.345398756423848,0.3463,0.3463,0.356433,0.356433,0.0189567810025414,0.3369292200304159
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,behavior_guided,Behavior-guided,5,Q2_KUAIRECLARGESTRICTPOSV2_0_2_BEHAVIOR_GUIDED_R01_S1,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_BEHAVIOR_GUIDED_R01_S1,behavior_guided,Behavior-Guided,1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960013,resume,ok,overall_seen_target,0.0260205160125178,0.3458049345997467,0.0192,0.3389,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_behavior_guided_r01_s1_20260419_171438_207811_pid956302.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_BEHAVIOR_GUIDED_R01_S1.log,1566.4079520702362,,2026-04-20T01:10:39.945072Z,0.0260111111111111,0.3458,0.0260205160125178,0.3458049345997467,0.3538,0.3538,0.3699,0.3699,0.0192414084382358,0.3389186868767389
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,behavior_guided,Behavior-guided,5,Q2_KUAIRECLARGESTRICTPOSV2_0_2_BEHAVIOR_GUIDED_R01_S2,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_BEHAVIOR_GUIDED_R01_S2,behavior_guided,Behavior-Guided,1,kuaireclargestrictposv2_0_2_top01_rfmoe,2,960014,resume,ok,overall_seen_target,0.0269555555555555,0.3484333333333333,0.0194,0.3402,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_behavior_guided_r01_s2_20260419_172207_902866_pid958493.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_BEHAVIOR_GUIDED_R01_S2.log,1595.0473008155825,,2026-04-20T01:10:39.946083Z,0.0269555555555555,0.3484333333333333,0.0269468028458624,0.34843233932879,0.3538,0.3538,0.3699,0.3699,0.0193538142508654,0.3402149373287917
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,behavior_guided,Behavior-guided,5,Q2_KUAIRECLARGESTRICTPOSV2_0_2_BEHAVIOR_GUIDED_R01_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_BEHAVIOR_GUIDED_R01_S3,behavior_guided,Behavior-Guided,1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,960015,resume,ok,overall_seen_target,0.0261241466981436,0.3472582191582066,0.0194,0.3385,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_behavior_guided_r01_s3_20260419_172344_689832_pid959029.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_BEHAVIOR_GUIDED_R01_S3.log,1646.5348181724548,,2026-04-20T01:10:39.947053Z,0.0261222222222222,0.3472444444444444,0.0261241466981436,0.3472582191582066,0.3538,0.3538,0.3699,0.3699,0.0194392977970574,0.3385452691002562
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,shared_ffn,Shared FFN,1,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S1,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S1,shared_ffn,Shared FFN,2,kuaireclargestrictposv2_0_2_top02_rfmoe,1,960016,resume,ok,overall_seen_target,0.0233760484284132,0.3091555555555556,0.0174,0.2968,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_shared_ffn_r02_s1_20260419_172509_712518_pid959421.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S1.log,665.5173676013947,,2026-04-20T01:10:39.948006Z,0.0233666666666666,0.3091555555555556,0.0233760484284132,0.3091420501158154,0.283333,0.283333,0.3154,0.3154,0.0174006012160021,0.2967660353380315
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,shared_ffn,Shared FFN,1,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S2,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S2,shared_ffn,Shared FFN,2,kuaireclargestrictposv2_0_2_top02_rfmoe,2,960017,resume,ok,overall_seen_target,0.0228126183970002,0.3027333333333333,0.0173,0.2832,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_shared_ffn_r02_s2_20260419_172615_746984_pid959923.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S2.log,606.2405016422272,,2026-04-20T01:10:39.948939Z,0.0228111111111111,0.3027333333333333,0.0228126183970002,0.3027193104947689,0.283333,0.283333,0.3154,0.3154,0.0173105268346377,0.2831847385898616
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,shared_ffn,Shared FFN,1,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S3,shared_ffn,Shared FFN,2,kuaireclargestrictposv2_0_2_top02_rfmoe,3,960018,resume,ok,overall_seen_target,0.0233607937995797,0.309671930493656,0.0173,0.2973,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_shared_ffn_r02_s3_20260419_173615_183246_pid962881.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S3.log,691.7893335819244,,2026-04-20T01:10:39.949879Z,0.0233555555555555,0.3096666666666667,0.0233607937995797,0.309671930493656,0.283333,0.283333,0.3154,0.3154,0.0173197772019331,0.2972686609747629
