axis_group,base_id,best_valid_mrr20,bias_mode,candidate_id,cold_item_count,cold_item_mrr20,combo_id,concept_id,concept_name,d_expert_hidden,d_ff,d_router_hidden,dataset,diag_available,diag_cv_usage,diag_entropy_mean,diag_family_top_expert_mean_share,diag_n_eff,diag_route_consistency_group_knn_js,diag_route_consistency_group_knn_score,diag_route_consistency_intra_group_knn_mean_js,diag_route_consistency_intra_group_knn_mean_score,diag_route_consistency_knn_js,diag_route_consistency_knn_score,diag_route_jitter_adjacent,diag_source_row_count,diag_top1_max_frac,embedding_size,fixed_hidden_dropout_prob,fixed_weight_decay,hvar_id,is_main_eligible,main_aux,n_completed,pass_tag,phase_tag,run_dir,run_id,run_phase,seed_id,sess_1_2_count,sess_1_2_mrr20,sess_3_5_count,sess_3_5_mrr20,setting_id,source_profile,special_available,special_test_overall_hit20,special_test_overall_mrr20,stage,status,support_aux,test_hr10,test_mrr20,timestamp,topk_profile,wrapper_combo
K3,B1,0.0808,bias_rule,K3,,,S3,C2,Specialization,112,224,56,KuaiRecLargeStrictPosV2_0.2,0,,,,,,,,,,,,0,,112,0.2,3e-06,H4,0,route_sharpness,18,,phase9_2,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_2_k3_b1_c2_s3_h4_s4_20260322_234657_148380_pid284160,K3_B1_C2_S3_H4_S4,P9_2_K3_B1_C2_S3_H4_S4,4,,,,,K3_H4,src_base,1,,,,partial,route_monopoly,0.1876,0.1613,2026-03-23T01:15:10.845649,,all_w2
K4,B2,0.0803,bias_group_feat,K4,,,F2,C3,FeatureAlignment,128,256,64,KuaiRecLargeStrictPosV2_0.2,0,,,,,,,,,,,,0,,128,0.15,1e-06,H1,0,route_prior_strong,11,,phase9_2,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_2_k4_b2_c3_f2_h1_s1_20260323_002848_933222_pid284295,K4_B2_C3_F2_H1_S1,P9_2_K4_B2_C3_F2_H1_S1,1,,,,,K4_H1,src_base,1,,,,partial,z,0.1872,0.1609,2026-03-23T01:19:14.156297,,mixed_2
K4,B2,0.0802,bias_group_feat,K4,,,F2,C3,FeatureAlignment,128,256,64,KuaiRecLargeStrictPosV2_0.2,0,,,,,,,,,,,,0,,128,0.15,1e-06,H1,0,route_prior_strong,13,,phase9_2,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_2_k4_b2_c3_f2_h1_s2_20260323_001001_911607_pid284219,K4_B2_C3_F2_H1_S2,P9_2_K4_B2_C3_F2_H1_S2,2,,,,,K4_H1,src_base,1,,,,partial,z,0.1887,0.162,2026-03-23T01:18:21.446533,,mixed_2
K4,B2,0.0801,bias_group_feat,K4,,,F2,C3,FeatureAlignment,128,256,64,KuaiRecLargeStrictPosV2_0.2,0,,,,,,,,,,,,0,,128,0.15,1e-06,H1,0,route_prior_strong,9,,phase9_2,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_2_k4_b2_c3_f2_h1_s3_20260323_003122_370046_pid284321,K4_B2_C3_F2_H1_S3,P9_2_K4_B2_C3_F2_H1_S3,3,,,,,K4_H1,src_base,1,,,,partial,z,0.1893,0.1619,2026-03-23T01:14:28.839927,,mixed_2
K4,B2,0.081,bias_group_feat,K4,,,F2,C3,FeatureAlignment,128,256,64,KuaiRecLargeStrictPosV2_0.2,0,,,,,,,,,,,,0,,128,0.15,1e-06,H1,0,route_prior_strong,16,,phase9_2,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_2_k4_b2_c3_f2_h1_s4_20260323_001550_659837_pid284248,K4_B2_C3_F2_H1_S4,P9_2_K4_B2_C3_F2_H1_S4,4,,,,,K4_H1,src_base,1,,,,partial,z,0.185,0.1603,2026-03-23T01:18:07.123655,,mixed_2
K4,B2,0.08,bias_group_feat,K4,,,F2,C3,FeatureAlignment,160,320,80,KuaiRecLargeStrictPosV2_0.2,0,,,,,,,,,,,,0,,160,0.12,5e-07,H2,0,route_prior_strong,2,,phase9_2,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_2_k4_b2_c3_f2_h2_s1_20260323_010813_377848_pid292002,K4_B2_C3_F2_H2_S1,P9_2_K4_B2_C3_F2_H2_S1,1,,,,,K4_H2,src_base,1,,,,partial,z,0.1869,0.1616,2026-03-23T01:15:26.147828,,mixed_2
K4,B2,0.08,bias_group_feat,K4,,,F2,C3,FeatureAlignment,160,320,80,KuaiRecLargeStrictPosV2_0.2,0,,,,,,,,,,,,0,,160,0.12,5e-07,H2,0,route_prior_strong,4,,phase9_2,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_2_k4_b2_c3_f2_h2_s2_20260323_010333_668401_pid291483,K4_B2_C3_F2_H2_S2,P9_2_K4_B2_C3_F2_H2_S2,2,,,,,K4_H2,src_base,1,,,,partial,z,0.1891,0.162,2026-03-23T01:17:21.151074,,mixed_2
K4,B2,0.0801,bias_group_feat,K4,,,F2,C3,FeatureAlignment,160,320,80,KuaiRecLargeStrictPosV2_0.2,0,,,,,,,,,,,,0,,160,0.12,5e-07,H2,0,route_prior_strong,1,,phase9_2,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_2_k4_b2_c3_f2_h2_s3_20260323_011520_363471_pid292633,K4_B2_C3_F2_H2_S3,P9_2_K4_B2_C3_F2_H2_S3,3,,,,,K4_H2,src_base,1,,,,partial,z,0.1875,0.1616,2026-03-23T01:20:30.212491,,mixed_2
K4,B2,,bias_group_feat,K4,,,F2,C3,FeatureAlignment,160,320,80,KuaiRecLargeStrictPosV2_0.2,0,,,,,,,,,,,,0,,160,0.12,5e-07,H2,0,route_prior_strong,0,,phase9_2,,K4_B2_C3_F2_H2_S4,P9_2_K4_B2_C3_F2_H2_S4,4,,,,,K4_H2,src_base,0,,,,pending,z,,,2026-03-23T01:15:13.150668Z,,mixed_2
K4,B2,,bias_group_feat,K4,,,F2,C3,FeatureAlignment,160,320,80,KuaiRecLargeStrictPosV2_0.2,0,,,,,,,,,,,,0,,160,0.18,2e-06,H3,0,route_prior_strong,0,,phase9_2,,K4_B2_C3_F2_H3_S1,P9_2_K4_B2_C3_F2_H3_S1,1,,,,,K4_H3,src_base,0,,,,pending,z,,,2026-03-23T01:15:13.150679Z,,mixed_2
